Customer ID,Recency,Frequency,Monetary,Total_Products_Purchased,Unique_Products_Purchased,First_Purchase,Last_Purchase,Avg_Transaction_Value,Customer_Tenure_Days,Revenue_Per_Product,Avg_Days_Between_Purchases,Std_Days_Between_Purchases,Purchase_Regularity,Spending_Trend,Monthly_Spending_Mean,Monthly_Spending_Std,Cancellation_Rate,Is_UK,Revenue_Percentile,R_Score,F_Score,M_Score,RFM_Segment
12356.0,22,6,5611.73,3376,103,2010-10-11 09:42:00,2011-11-17 08:40:00,935.2883333333333,424,54.48281553398058,2.891304347826087,20.67322566993663,0.13340443143341943,-332.4580000000001,1122.346,971.7587886301827,0.0,0,90-100%,4,4,5,Champions
12357.0,32,2,17437.66,6586,260,2010-11-16 10:05:00,2011-11-06 16:07:00,8718.83,388,67.06792307692308,1.2074829931972788,20.704020444953056,0.05563407002217697,-5022.32,8718.83,3551.316529288821,0.0,0,90-100%,4,2,5,At Risk - Big Spenders
12358.0,1,5,3447.07,1068,55,2009-12-08 07:59:00,2011-12-08 10:26:00,689.414,731,62.674,9.972602739726028,42.189049593841986,0.23090581602304927,-167.65,689.414,461.42587376522346,0.0,0,80-90%,5,3,5,Loyal Customers
12359.0,7,14,8652.34,2513,305,2009-12-05 13:32:00,2011-12-02 11:21:00,618.0242857142857,733,28.36832786885246,1.9433962264150944,12.618284815208261,0.142704918628578,71.59890909090907,786.5763636363637,873.2596944468779,0.2857142857142857,0,90-100%,5,5,5,Champions
12360.0,51,6,3612.89,2443,159,2010-02-22 09:32:00,2011-10-18 15:22:00,602.1483333333333,655,22.7225786163522,2.8666666666666667,20.02441890472953,0.13634938875869707,117.70485714285715,602.1483333333333,310.09188589298276,0.0,0,80-90%,4,4,5,Champions
12361.0,286,4,451.25,231,17,2010-01-26 14:37:00,2011-02-25 13:51:00,112.8125,681,26.544117647058822,16.375,45.63828722541595,0.3511063757735146,25.795000000000005,112.8125,41.9202889422294,0.0,0,30-40%,2,3,2,Lost Customers
12362.0,2,13,4665.58,2180,200,2011-02-17 10:30:00,2011-12-06 15:40:00,358.89076923076925,295,23.3279,1.091254752851711,6.878390180341706,0.13851240264472156,46.82404761904762,583.1975,393.99228483200386,0.23076923076923078,0,80-90%,5,5,5,Champions
12363.0,109,2,552.0,408,23,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,241,24.0,6.0,28.142494558940577,0.20588491447995383,-46.20000000000002,276.0,32.668333290818495,0.0,0,30-40%,3,2,2,Hibernating
12364.0,7,4,1208.1,1499,69,2011-08-19 15:24:00,2011-12-02 10:22:00,302.025,111,17.508695652173913,1.2875,6.57612434435398,0.1699417725316896,-64.654,302.025,211.40655138066717,0.0,0,60-70%,5,3,4,Loyal Customers
12365.0,290,1,320.69,173,21,2011-02-21 13:51:00,2011-02-21 13:51:00,320.69,290,15.27095238095238,0.0,0.0,0.0,0.0,320.69,0.0,0.0,0,20-30%,2,1,2,Lost Customers
12366.0,633,1,500.24,296,3,2010-03-16 10:28:00,2010-03-16 10:28:00,500.24,633,166.74666666666667,0.0,0.0,0.0,0.0,500.24,0.0,0.0,0,30-40%,1,1,2,Lost Customers
12367.0,3,1,150.9,172,10,2011-12-05 16:48:00,2011-12-05 16:48:00,150.9,3,15.09,0.0,0.0,0.0,0.0,150.9,0.0,0.0,0,0-10%,5,1,1,Low-Value Customers
12368.0,627,1,917.6999999999999,330,18,2010-03-21 15:56:00,2010-03-21 15:56:00,917.6999999999999,627,50.98333333333333,0.0,0.0,0.0,0.0,917.6999999999999,0.0,0.0,0,50-60%,1,1,3,Lost Customers
12369.0,412,3,1511.15,1234,89,2010-03-08 08:09:00,2010-10-22 13:13:00,503.7166666666667,641,16.97921348314607,2.550561797752809,20.645829006426823,0.11783155992757433,-82.48500000000001,503.71666666666664,488.32206302125377,0.0,0,60-70%,1,2,4,Lost - Big Spenders
12370.0,50,7,3956.56,2595,167,2010-02-09 09:41:00,2011-10-19 14:51:00,565.2228571428572,668,23.69197604790419,3.142857142857143,25.45161321772386,0.1188153295977909,147.93699999999998,791.312,616.1221984882544,0.0,0,80-90%,4,4,5,Champions
12371.0,59,4,3347.38,1418,133,2010-03-04 18:23:00,2011-10-11 10:43:00,836.845,644,25.16827067669173,3.6049382716049383,32.96155449672977,0.10614762265820504,520.14,1115.7933333333333,552.7389453741552,0.0,0,80-90%,3,3,5,Good Customers
12372.0,71,3,1196.04,788,33,2011-02-16 12:46:00,2011-09-29 12:12:00,398.68,296,36.24363636363636,4.666666666666667,23.39515619382212,0.1912948058044598,-5.050000000000011,398.68,70.34687484174401,0.0,0,60-70%,3,2,4,Hibernating
12373.0,310,3,927.6500000000001,511,35,2010-02-04 12:08:00,2011-02-01 13:10:00,309.2166666666667,673,26.504285714285718,7.680851063829787,45.91395846437813,0.16372208432724503,-16.650000000000006,309.2166666666667,57.927763924851575,0.0,0,50-60%,2,2,3,Lost Customers
12374.0,24,3,2669.22,1354,78,2010-04-30 14:01:00,2011-11-14 15:37:00,889.7399999999999,587,34.22076923076923,7.025,47.78961674207517,0.14398555408084984,-382.805,889.7399999999999,432.32417015475784,0.0,0,70-80%,4,2,4,At Risk - Big Spenders
12375.0,2,3,375.42,175,13,2011-09-02 14:23:00,2011-12-07 11:27:00,125.14,97,28.87846153846154,6.333333333333333,22.410669227805204,0.27053192165096834,-96.19,125.14,110.18665436431039,0.3333333333333333,0,20-30%,5,2,2,Low-Value Customers
12376.0,389,2,383.15,237,10,2010-10-18 08:42:00,2010-11-15 12:15:00,191.575,417,38.315,2.8,8.854377448471462,0.2841376854744198,-321.95000000000005,191.57500000000002,227.65302820300897,0.0,0,20-30%,2,2,2,Lost Customers
12377.0,314,4,3266.32,2101,128,2010-04-29 15:34:00,2011-01-28 15:45:00,816.58,588,25.518125,1.832214765100671,17.429550351832884,0.09941722560357805,-149.88,816.58,345.6003587961101,0.0,0,80-90%,2,3,5,Lost - Big Spenders
12378.0,129,2,5416.32,3316,281,2010-05-26 14:07:00,2011-08-02 10:34:00,2708.16,561,19.275160142348753,1.44,24.94153162899183,0.055509444106634,2600.92,2708.16,1839.1281693237152,0.0,0,90-100%,3,2,5,Hibernating
12379.0,81,5,1468.27,804,57,2010-06-23 12:49:00,2011-09-19 10:09:00,293.654,534,25.759122807017544,5.857142857142857,32.22687432208449,0.17627727484585762,-29.260999999999996,293.654,168.47108796467123,0.2,0,60-70%,3,3,4,Good Customers
12380.0,21,10,7171.0,3301,154,2010-02-15 12:05:00,2011-11-18 11:27:00,717.1,662,46.564935064935064,2.3555555555555556,17.004467668643095,0.13083172459789152,-169.71500000000003,896.375,704.3421603981162,0.2,0,90-100%,4,4,5,Champions
12381.0,4,4,1433.46,772,69,2011-08-12 09:57:00,2011-12-05 12:44:00,358.365,119,20.774782608695652,1.3294117647058823,7.981210427495016,0.14802144715772722,-440.19,477.82,456.29813641960016,0.25,0,60-70%,5,3,4,Loyal Customers
12383.0,184,6,1617.31,1515,83,2010-12-22 14:28:00,2011-06-08 08:02:00,269.5516666666667,351,19.48566265060241,1.7553191489361701,8.551785539789579,0.18376869346826216,-142.529,323.462,236.76986309494717,0.16666666666666666,0,60-70%,3,4,4,Best Customers
12384.0,28,3,406.16,117,25,2011-08-10 11:23:00,2011-11-11 08:39:00,135.38666666666668,121,16.2464,3.3703703703703702,12.207022405623578,0.2551953246429914,-0.05499999999999261,135.38666666666668,133.79804943770046,0.3333333333333333,0,30-40%,4,2,2,Low-Value Customers
12385.0,378,1,1668.4,594,64,2010-11-25 15:14:00,2010-11-25 15:14:00,1668.4,378,26.06875,0.0,0.0,0.0,0.0,1668.4,0.0,0.0,0,60-70%,2,1,4,Lost - Big Spenders
12386.0,337,2,401.9,354,10,2010-12-08 09:53:00,2011-01-06 12:37:00,200.95,366,40.19,3.2222222222222223,9.666666666666666,0.30208333333333337,-115.89999999999998,200.95,81.95367593952083,0.0,0,30-40%,2,2,2,Lost Customers
12387.0,414,1,143.94,134,9,2010-10-20 16:27:00,2010-10-20 16:27:00,143.94,414,15.993333333333332,0.0,0.0,0.0,0.0,143.94,0.0,0.0,0,0-10%,1,1,1,Lost Customers
12388.0,15,8,3901.11,2001,83,2010-05-06 12:54:00,2011-11-24 12:30:00,487.63875,581,47.00132530120482,3.882758620689655,19.761601180725556,0.18701633784846475,13.192023809523805,487.63875,285.0162066288011,0.0,0,80-90%,5,4,5,Champions
12389.0,402,3,1433.33,614,41,2010-02-22 10:15:00,2010-11-02 11:52:00,477.77666666666664,655,34.95926829268293,5.25,26.624656625495327,0.1900476111313787,352.72499999999997,477.77666666666664,359.39761773463846,0.0,0,60-70%,2,2,4,Lost - Big Spenders
12390.0,79,1,504.84000000000003,350,31,2011-09-21 09:33:00,2011-09-21 09:33:00,504.84000000000003,79,16.28516129032258,0.0,0.0,0.0,0.0,504.84000000000003,0.0,0.0,0,30-40%,3,1,2,Hibernating
12391.0,21,7,2699.24,1196,241,2010-02-15 10:12:00,2011-11-18 12:07:00,385.60571428571427,662,11.200165975103733,2.3529411764705883,28.101037895439994,0.08085420131490513,-21.306999999999995,539.848,439.63235500813636,0.14285714285714285,0,70-80%,4,4,4,Champions
12392.0,590,1,234.75000000000003,73,7,2010-04-27 14:04:00,2010-04-27 14:04:00,234.75000000000003,590,33.53571428571429,0.0,0.0,0.0,0.0,234.75000000000003,0.0,0.0,0,10-20%,1,1,1,Lost Customers
12393.0,71,7,2376.75,1305,63,2010-10-07 13:49:00,2011-09-28 15:41:00,339.5357142857143,427,37.726190476190474,3.18018018018018,18.872393594010273,0.16003005199830161,36.665,475.35,124.11537978832436,0.14285714285714285,0,70-80%,3,4,4,Best Customers
12394.0,63,2,1080.48,808,25,2011-05-06 14:01:00,2011-10-07 08:08:00,540.24,216,43.2192,6.375,31.23099422048552,0.1977909820711689,378.32,540.24,267.5126374584946,0.0,0,50-60%,3,2,3,Hibernating
12395.0,15,18,4220.82,3170,144,2010-04-16 10:16:00,2011-11-24 12:20:00,234.48999999999998,602,29.311249999999998,2.5283842794759823,11.878601116430357,0.1963244498853452,-18.707832167832166,351.73499999999996,286.09548566550615,0.16666666666666666,0,80-90%,5,5,5,Champions
12396.0,673,1,931.43,591,65,2010-02-03 13:22:00,2010-02-03 13:22:00,931.43,673,14.329692307692307,0.0,0.0,0.0,0.0,931.43,0.0,0.0,0,50-60%,1,1,3,Lost Customers
12397.0,35,2,2214.9,1250,109,2011-07-27 14:21:00,2011-11-04 09:52:00,1107.45,134,20.320183486238534,0.8048780487804879,8.92652938320758,0.08108353057837885,-4.720000000000027,1107.4499999999998,3.337544007200443,0.0,0,70-80%,4,2,4,At Risk - Big Spenders
12398.0,45,1,1435.66,1389,84,2011-10-25 10:27:00,2011-10-25 10:27:00,1435.66,45,17.091190476190476,0.0,0.0,0.0,0.0,1435.66,0.0,0.0,0,60-70%,4,1,4,At Risk - Big Spenders
12399.0,118,7,1842.3,2190,66,2010-03-05 08:45:00,2011-08-12 13:15:00,263.18571428571425,644,27.913636363636364,5.137254901960785,22.971803299812414,0.21430406539340263,-8.720000000000002,263.1857142857143,109.1921572057174,0.0,0,70-80%,3,4,4,Best Customers
12400.0,413,1,205.25,91,11,2010-10-21 13:45:00,2010-10-21 13:45:00,205.25,413,18.65909090909091,0.0,0.0,0.0,0.0,205.25,0.0,0.0,0,10-20%,1,1,1,Lost Customers
12401.0,302,1,69.3,10,4,2011-02-09 13:50:00,2011-02-09 13:50:00,69.3,302,17.325,0.0,0.0,0.0,0.0,69.3,0.0,0.0,0,0-10%,2,1,1,Lost Customers
12402.0,322,7,1124.15,575,42,2010-02-07 12:41:00,2011-01-20 13:49:00,160.59285714285716,670,26.765476190476193,5.375,18.515116089550283,0.27542751861353976,-11.307142857142855,187.35833333333335,54.36870806508709,0.14285714285714285,0,50-60%,2,4,3,Cant Lose Them
12403.0,49,2,947.36,256,4,2010-07-06 11:39:00,2011-10-21 10:51:00,473.68,521,236.84,78.5,192.28494480847948,0.40613613273285926,-163.9600000000001,473.68000000000006,115.93722784334642,0.0,0,50-60%,4,2,3,Potential
12405.0,148,1,1390.39,849,53,2011-07-14 08:52:00,2011-07-14 08:52:00,1390.39,148,26.233773584905663,0.0,0.0,0.0,0.0,1390.39,0.0,0.0,0,60-70%,3,1,4,Hibernating
12406.0,21,7,6072.21,3383,114,2010-01-11 14:04:00,2011-11-17 19:22:00,867.4585714285714,696,53.265,3.9763313609467454,24.55338029844409,0.15560882022285163,67.87399999999998,1012.035,693.7935381293198,0.2857142857142857,0,90-100%,4,4,5,Champions
12407.0,49,5,1507.1200000000001,1403,56,2011-03-20 13:21:00,2011-10-21 10:11:00,301.42400000000004,263,26.912857142857145,2.9859154929577465,14.028025986519658,0.1986898010181878,71.21199999999999,376.78,277.27468306115986,0.0,0,60-70%,4,3,4,Loyal Customers
12408.0,32,13,3859.64,2158,103,2010-07-29 13:27:00,2011-11-07 12:27:00,296.8953846153846,497,37.47223300970874,2.8633540372670807,14.005131601671014,0.190824986629788,42.292142857142856,482.455,302.1608043504556,0.38461538461538464,0,80-90%,4,5,5,Champions
12409.0,78,13,23090.47,13027,177,2010-05-23 15:21:00,2011-09-22 10:38:00,1776.19,564,130.4546327683616,1.7822878228782288,16.44228457830262,0.10218201720520666,12.647857142857202,3298.6385714285716,3150.861193612674,0.46153846153846156,0,90-100%,3,5,5,Best Customers
12410.0,300,4,761.46,333,35,2010-07-25 13:26:00,2011-02-11 15:47:00,190.365,501,21.756,5.128205128205129,30.895562181050064,0.1607811487722239,280.70000000000005,380.73,198.4848734790639,0.25,0,40-50%,2,3,3,Lost Customers
12411.0,409,1,346.9,138,22,2010-10-26 09:25:00,2010-10-26 09:25:00,346.9,409,15.768181818181818,0.0,0.0,0.0,0.0,346.9,0.0,0.0,0,20-30%,1,1,2,Lost Customers
12412.0,74,8,2389.03,1980,81,2010-06-18 13:22:00,2011-09-26 10:16:00,298.62875,538,29.4941975308642,3.7096774193548385,22.98135482981355,0.15469006841694274,-44.6277142857143,398.1716666666666,155.81536925690824,0.25,0,70-80%,3,4,4,Best Customers
12413.0,66,5,861.5,312,40,2010-11-02 13:26:00,2011-10-04 09:00:00,172.3,401,21.5375,6.958333333333333,28.994466334357394,0.2319872357709814,-35.80999999999999,215.375,140.82520193488097,0.2,0,50-60%,3,3,3,Good Customers
12414.0,216,5,442.41,297,19,2010-09-02 12:22:00,2011-05-06 14:51:00,88.482,463,23.284736842105264,8.75,32.25434222849061,0.26312353255640253,46.659,110.60249999999999,83.61767770633193,0.2,0,30-40%,2,3,2,Lost Customers
12415.0,23,28,143107.02,91016,496,2010-06-30 08:30:00,2011-11-15 14:22:00,5110.964999999999,527,288.52221774193544,0.4989816700610998,4.614330708955596,0.08887642996611482,573.5679999999999,9540.467999999999,8238.765527985193,0.14285714285714285,0,90-100%,4,5,5,Champions
12416.0,656,1,202.56,132,11,2010-02-21 10:19:00,2010-02-21 10:19:00,202.56,656,18.414545454545454,0.0,0.0,0.0,0.0,202.56,0.0,0.0,0,10-20%,1,1,1,Lost Customers
12417.0,2,27,5889.71,2811,269,2009-12-06 10:30:00,2011-12-06 14:52:00,218.1374074074074,733,21.894832713754646,1.9972144846796658,8.974669072264511,0.20022864620472525,3.3015170278637784,327.2061111111111,209.7672851782321,0.25925925925925924,0,90-100%,5,5,5,Champions
12418.0,112,5,2016.95,1087,90,2010-03-19 14:47:00,2011-08-19 11:08:00,403.39,629,22.410555555555558,5.0588235294117645,33.838821085605204,0.14520650733218934,112.68400000000003,403.39,256.094677316808,0.2,0,70-80%,3,3,4,Good Customers
12419.0,385,2,391.01,227,22,2010-10-22 10:40:00,2010-11-19 10:04:00,195.505,413,17.77318181818182,1.2272727272727273,5.756419341601482,0.1816454345448939,-86.81000000000003,195.505,61.3839396748042,0.0,0,30-40%,2,2,2,Lost Customers
12420.0,63,1,600.39,345,29,2011-10-07 08:55:00,2011-10-07 08:55:00,600.39,63,20.70310344827586,0.0,0.0,0.0,0.0,600.39,0.0,0.0,0,40-50%,3,1,3,Hibernating
12421.0,15,7,869.6,640,43,2010-07-22 13:57:00,2011-11-24 09:07:00,124.22857142857143,504,20.22325581395349,8.23728813559322,28.249711004350818,0.28161947085111183,15.779999999999996,144.9333333333333,53.647225339868854,0.14285714285714285,0,50-60%,5,4,3,Champions
12422.0,95,12,3639.35,2579,135,2009-12-18 12:44:00,2011-09-05 09:48:00,303.27916666666664,721,26.958148148148148,3.8447204968944098,17.32972843346484,0.20975327107820377,-12.766545454545456,330.84999999999997,181.0251653776347,0.0,0,80-90%,3,5,5,Best Customers
12423.0,0,11,2291.19,1760,127,2010-08-31 09:31:00,2011-12-09 10:10:00,208.29,465,18.040866141732284,2.9612903225806453,14.005974546584794,0.1973407534037571,-21.353454545454547,208.29,115.73197276466001,0.09090909090909091,0,70-80%,5,5,4,Champions
12424.0,162,7,3289.78,2015,80,2009-12-07 14:43:00,2011-06-30 12:06:00,469.96857142857147,731,41.12225,5.916666666666667,34.27033907551656,0.1677519077431782,606.862,822.4449999999999,786.5173137530625,0.42857142857142855,0,80-90%,3,4,5,Best Customers
12425.0,77,3,1680.81,1103,87,2010-09-17 14:10:00,2011-09-22 17:31:00,560.27,447,19.319655172413793,3.9361702127659575,36.333523283701446,0.10543259426265714,-93.505,560.27,545.7589694178191,0.3333333333333333,0,60-70%,3,2,4,Hibernating
12426.0,194,3,1167.41,569,72,2010-02-15 08:41:00,2011-05-29 12:26:00,389.1366666666667,662,16.21402777777778,5.924050632911392,50.86275453381024,0.11422553017405583,-89.875,389.1366666666667,377.1393424628798,0.3333333333333333,0,50-60%,2,2,3,Lost Customers
12427.0,11,5,582.37,229,25,2010-12-03 10:44:00,2011-11-28 10:48:00,116.474,371,23.2948,11.548387096774194,52.425082234669205,0.21616039908086626,-24.655,194.12333333333333,51.687962170444806,0.4,0,30-40%,5,3,2,Loyal Customers
12428.0,25,11,6366.0,3477,256,2011-03-01 09:33:00,2011-11-14 08:22:00,578.7272727272727,283,24.8671875,0.872852233676976,7.359791866586251,0.10441076136903969,-880.158,1273.2,2004.1037169892181,0.2727272727272727,0,90-100%,4,5,5,Champions
12429.0,8,9,5792.01,2751,123,2010-06-11 13:28:00,2011-11-30 17:22:00,643.5566666666667,545,47.089512195121955,3.566666666666667,20.315107172209167,0.16733045899562352,-44.27285714285718,827.4300000000001,495.66734789238103,0.1111111111111111,0,90-100%,5,4,5,Champions
12430.0,42,1,216.4,116,10,2011-10-27 15:09:00,2011-10-27 15:09:00,216.4,42,21.64,0.0,0.0,0.0,0.0,216.4,0.0,0.0,0,10-20%,4,1,1,Low-Value Customers
12431.0,35,31,9963.66,4510,243,2010-01-15 09:04:00,2011-11-04 11:55:00,321.40838709677416,693,41.00271604938271,1.6521739130434783,8.300555380271772,0.1776425004197115,14.6911661506708,553.5366666666666,354.7824043982286,0.1935483870967742,0,90-100%,4,5,5,Champions
12432.0,42,4,4359.32,1800,106,2011-06-20 13:27:00,2011-10-28 11:43:00,1089.83,171,41.125660377358486,1.2169811320754718,12.52958762440871,0.08994961013297388,-2274.0,2179.6600000000003,1607.9608204182093,0.0,0,80-90%,4,3,5,Loyal Customers
12433.0,0,10,16794.14,13534,285,2010-08-20 09:23:00,2011-12-09 10:02:00,1679.414,476,58.92680701754386,0.8458781362007168,12.130406438308293,0.06442132162282851,276.1007142857143,2099.2675,1159.2778071066487,0.0,0,90-100%,5,4,5,Champions
12434.0,84,5,1062.48,511,62,2010-11-23 13:38:00,2011-09-16 12:38:00,212.496,380,17.136774193548387,4.041095890410959,22.525564708770585,0.17177466047836865,45.975,212.496,232.25932226715895,0.4,0,50-60%,3,3,3,Good Customers
12435.0,79,6,13925.93,4958,88,2009-12-02 13:58:00,2011-09-21 09:06:00,2320.9883333333332,736,158.24920454545455,5.90990990990991,28.580205975957796,0.1997927233743189,704.21,2320.9883333333332,1387.1738140322095,0.0,0,90-100%,3,4,5,Best Customers
12436.0,99,1,429.01000000000005,209,15,2011-09-01 12:09:00,2011-09-01 12:09:00,429.01000000000005,99,28.60066666666667,0.0,0.0,0.0,0.0,429.01000000000005,0.0,0.0,0,30-40%,3,1,2,Hibernating
12437.0,1,45,11011.85,7853,272,2009-12-02 16:24:00,2011-12-08 11:35:00,244.70777777777778,736,40.48474264705882,1.3058608058608059,6.600795232244416,0.171805813202417,-13.698263157894734,550.5925,391.3550195340207,0.15555555555555556,0,90-100%,5,5,5,Champions
12438.0,13,2,2466.85,1169,83,2011-07-22 13:29:00,2011-11-25 13:28:00,1233.425,139,29.721084337349396,1.3157894736842106,12.824729401064426,0.09517650837946255,926.71,1233.425,655.2829251933855,0.0,0,70-80%,5,2,4,At Risk - Big Spenders
12439.0,682,3,1089.18,448,69,2009-12-14 08:40:00,2010-01-26 12:11:00,363.06,725,15.785217391304348,0.589041095890411,5.032769329433615,0.09764024840407962,-936.14,544.59,661.9509421399746,0.3333333333333333,0,50-60%,1,2,3,Lost Customers
12440.0,456,3,648.15,305,20,2009-12-22 12:03:00,2010-09-08 15:57:00,216.04999999999998,717,32.4075,8.125,45.058206083729864,0.17640721797174314,-328.87,324.075,232.5462071288199,0.3333333333333333,0,40-50%,1,2,3,Lost Customers
12441.0,366,1,155.55,120,10,2010-12-08 10:45:00,2010-12-08 10:45:00,155.55,366,15.555000000000001,0.0,0.0,0.0,0.0,155.55,0.0,0.0,0,10-20%,2,1,1,Lost Customers
12442.0,2,1,144.06,181,11,2011-12-06 14:22:00,2011-12-06 14:22:00,144.06,2,13.096363636363636,0.0,0.0,0.0,0.0,144.06,0.0,0.0,0,0-10%,5,1,1,Low-Value Customers
12443.0,731,1,365.31,179,20,2009-12-07 15:42:00,2009-12-07 15:42:00,365.31,731,18.2655,0.0,0.0,0.0,0.0,365.31,0.0,0.0,0,20-30%,1,1,2,Lost Customers
12444.0,20,5,4085.46,1130,137,2011-06-21 14:00:00,2011-11-18 13:23:00,817.092,170,29.82087591240876,0.8713450292397661,5.772739991008079,0.1286547291637682,-226.51800000000003,817.092,595.3342472678689,0.0,0,80-90%,4,3,5,Loyal Customers
12445.0,21,3,370.48,202,23,2010-10-15 12:28:00,2011-11-17 18:43:00,123.49333333333334,420,16.10782608695652,17.304347826086957,78.73917517671798,0.2170118738717457,-112.09000000000002,123.49333333333334,160.0963713933996,0.3333333333333333,0,20-30%,4,2,2,Low-Value Customers
12446.0,57,1,1002.3100000000001,351,57,2011-10-13 12:50:00,2011-10-13 12:50:00,1002.3100000000001,57,17.584385964912283,0.0,0.0,0.0,0.0,1002.3100000000001,0.0,0.0,0,50-60%,3,1,3,Hibernating
12447.0,242,1,431.49,187,25,2011-04-10 13:25:00,2011-04-10 13:25:00,431.49,242,17.2596,0.0,0.0,0.0,0.0,431.49,0.0,0.0,0,30-40%,2,1,2,Lost Customers
12448.0,43,1,365.45,240,21,2011-10-26 13:46:00,2011-10-26 13:46:00,365.45,43,17.402380952380952,0.0,0.0,0.0,0.0,365.45,0.0,0.0,0,20-30%,4,1,2,Low-Value Customers
12449.0,21,5,4274.89,2247,124,2010-09-27 09:37:00,2011-11-17 13:46:00,854.9780000000001,438,34.47491935483871,2.123076923076923,19.19797107968773,0.10511337572970457,122.99900000000001,854.9780000000001,224.6375520032214,0.0,0,80-90%,4,3,5,Loyal Customers
12450.0,155,7,666.95,435,31,2010-08-22 13:11:00,2011-07-06 14:41:00,95.27857142857144,473,21.51451612903226,8.076923076923077,36.48747774769673,0.21545656208943884,-8.731000000000003,133.39000000000001,62.47436034086304,0.2857142857142857,0,40-50%,3,4,3,Best Customers
12451.0,10,10,12506.53,9225,351,2010-06-28 12:58:00,2011-11-29 08:40:00,1250.653,528,35.6311396011396,1.001953125,9.420487941010386,0.09615222729223265,5.906785714285723,1563.3162499999999,1151.5127040293871,0.2,0,90-100%,5,4,5,Champions
12452.0,16,1,348.57,181,20,2011-11-23 08:05:00,2011-11-23 08:05:00,348.57,16,17.4285,0.0,0.0,0.0,0.0,348.57,0.0,0.0,0,20-30%,5,1,2,Low-Value Customers
12453.0,133,1,707.09,473,43,2011-07-28 14:08:00,2011-07-28 14:08:00,707.09,133,16.443953488372095,0.0,0.0,0.0,0.0,707.09,0.0,0.0,0,40-50%,3,1,3,Hibernating
12454.0,52,7,4098.96,2232,23,2010-10-14 17:33:00,2011-10-17 15:07:00,585.5657142857143,420,178.21565217391304,5.2898550724637685,40.83867164158593,0.12643458467753715,-2049.48,1366.32,2366.5356593975084,0.42857142857142855,0,80-90%,4,4,5,Champions
12455.0,72,9,5722.95,3295,198,2009-12-18 12:33:00,2011-09-27 15:31:00,635.8833333333333,721,28.903787878787877,2.9406392694063928,17.220404516141652,0.1613926445376802,-144.96216666666666,635.8833333333334,621.2782192584897,0.0,0,90-100%,3,4,5,Best Customers
